,Data,User,Pesan,Saham,Jam,Tanggal
88,89,Nanang Eko,"Membalas : Berarti (semoga) balik ke pola symmetrical triangles #target 9 april break 6231 ihsg
Smoga april bullish pak ",POLA,3:23:55 PM,Tuesday April 6 2021
89,90,P007_MUHAMAD IKHSAN FIRDAUS_DEPOK,"Membalas : Ada insight menarik dari Pak Guru soal SAME di GEMES #3
Yang ini di tunggu yak Pak Dhe ",SAME,3:22:44 PM,Tuesday April 6 2021
90,91,Jafar Sim,"Membalas : Smoga bandar ga prank pak 
Berarti (semoga) balik ke pola symmetrical triangles #target 9 april break 6231 ihsg  ",POLA,3:18:36 PM,Tuesday April 6 2021
91,92,Virgaust,"Membalas : Wah mantap pak.... emang beda klo udah pengalaman panjang. All detailed information counts ya pak..
iya mantap emang pak  
Hu Jutha udah siap2 buat menuhin gudang kyknya kalo udah tercium good sign for reversal.",GOOD,3:12:14 PM,Tuesday April 6 2021
92,93,Virgaust,"Membalas : 5,457T
almost 6 T ya Pak.
cincai lah beda2 dikit pak, mudah2an udah jadi good sign ya pak hehehe",GOOD,3:09:34 PM,Tuesday April 6 2021
93,94,Arief,"Membalas : Gpp pak berarti aman, ga jadi. Yg bahaya kalau telat nyabut, keburu diguyur
makasih pak   ",AMAN,3:07:54 PM,Tuesday April 6 2021
94,95,Andre Salim,"Membalas : Gpp pak berarti aman, ga jadi. Yg bahaya kalau telat nyabut, keburu diguyur
sdh nginep, telat nyabut, akan terjadi hal2 yg tdk diinginkan ",AMAN,3:06:45 PM,Tuesday April 6 2021
95,96,Lee Khong Huan,"Membalas : iya pak, telat masuk saya wkwk
Gpp pak berarti aman, ga jadi.
Yg bahaya kalau telat nyabut, keburu diguyur",AMAN,3:01:55 PM,Tuesday April 6 2021
96,97,Arief,"Membalas : padahal di CENT bisa cuan terus kalau entrynya bener pak
iya pak, telat masuk saya wkwk",CENT,2:59:50 PM,Tuesday April 6 2021
97,98,Fajar Oktavaria,"Membalas : iya pak betul, sejauh ini sih CL terus  
padahal di CENT bisa cuan terus kalau entrynya bener pak",CENT,2:59:17 PM,Tuesday April 6 2021
98,99,Aliong,"Membalas : kalau cuan lebar ga main disini saya pak, di executive  
Semangat om   semoga break ath, inget waktu ga dapat diputar, dicelupin, apalagi dijilat",MAIN,2:57:16 PM,Tuesday April 6 2021
99,100,Virgaust,PTPP mantul juga di MA200 daily,PTPP,2:56:24 PM,Tuesday April 6 2021
100,101,Arief,"Membalas : CL ini cuan lebar, mantap kali
kalau cuan lebar ga main disini saya pak, di executive  ",MAIN,2:53:22 PM,Tuesday April 6 2021
101,102,Andru,":rocket::rocket::rocket::rocket::rocket::rocket::rocket: Adhi, wege, dll cekidot","ADHI,WEGE",2:52:24 PM,Tuesday April 6 2021
102,103,Kevin,"Membalas : set MG napasnya g abis2 nampung abba
yoi  ",ABBA,2:48:20 PM,Tuesday April 6 2021
103,104,Andre Salim,set MG napasnya g abis2 nampung abba,ABBA,2:47:13 PM,Tuesday April 6 2021
104,105,P007_MUHAMAD IKHSAN FIRDAUS_DEPOK,"Membalas : Asing haka, lokal haki, ntar ga lama di haka lg trus di haki lg  
Nah kalo ini bener wkwk",TRUS,2:45:34 PM,Tuesday April 6 2021
105,106,Muhammad Repi,"PYFA mulai dipantau
",PYFA,2:43:53 PM,Tuesday April 6 2021
